Gedad Vict;Año I;Canton;Provincia;Tipo muerte SRMCE2;NDD;Accion Infraccion;Agravantes 142 1;Agravantes 142 2;Agravantes 142 3;Agravantes 142 4;Ambito Genero;anteced VBG vict;Anteced Vic;Anteced Vict;Antecedentes2;antecedVBG vic vict;Años Privac;Apelacion;Area;Arma Especif;Atenuantes Art 42;Casacion;Categoria Tipificada;Categoria Vict;Circunstancias Art 140;Cod Provin;Cuenta Noticia Delito;Cuenta Victima;Defensor Publico;Delito Sent Ejec;Delito Sentencia;Dictamen;Disc Vic;Edad Reproductiva;Edad Vic;Edad Vict;Embarazo Vic;Estado Causa;Estado Ppl;Estcivil Vic;Estcivil Vict;Etnia Vic;Etnia Vict;Fecha Acta;fecha actualizacionCJ;Fecha Detencion;Fecha I;fecha ingresaMatriz;Fecha M;Fecha Ndd;Fecha Proceso;fecha reformulacion NDD;Fecha Sentencia;Fechafallec Vict;Garantia No Repeticion;Gedad Vic;Glbti Vic;Hijos Vic;Hora Acta;Hora I;Hora Ndd;Id Victima;Indemnizacion;Indicio Asex;Ingresa;Intento Suicidio;Latitud;Longitud;Lugar Especif;Lugar Hecho;Mas Buscados;Med Cautelares Art522;Mes I;Mod Tipo Penal Otro;Muerte Victimario;Nac Vic;Nac Vict;Ndd Pd;Ndd Reformulacion;ndd tipoPenal Actual;ndd tipoPenal Inicia;Niña Adoles;Nivel Educación Vic;Nivin Vic;Nivin Vict;Noticia Delito;Num Vic Conex;Numero Juicio;Numhijos Vic;Ocupa Vic;Ocupa Vict;Orden Captura;Otros Agravantes Art 47;Otros Victimarios;Otrosproced Vict;Otrosproced Vict2;otrosProces vic vict;Pcausa M;Ppl Menor;Presun Motiva;presun motivaEsp;Privac Modif;Profesion Vic;Profesion Vict;Profugo Victimario;Rehabilitacion;rela vicConex;Relacion Vic Agresor;reportada PD;Resol Apela;Resol Casac;Restitucion;Satisfaccion Simbolica;Sexo Vic;Sexo Vict;Termina Causa;Tipo Arma;Tipo muerte SRMCE;Tipo Sent Ejec;Tipo Sentencia;Vic Conex;Victimas Indirect
ENTRE 45 Y 64 AÑOS;2018;ESMERALDAS;ESMERALDAS;FEMICIDIO;080101818010315;;SIN DATO;SIN DATO;SIN DATO;SIN DATO;PRIVADO;NO;NO;NO;;NO;34 AÑOS Y 8 MESES;SI;RURAL;SIN DATO;SIN DATO;NO APLICA;FEMICIDIO;SOSPECHOSO;NO APLICA;08;1;1;;NO APLICA;141 FEMICIDIO;ACUSATORIO;NINGUNA;SI;33;45;NO;RECURSO DE APELACION;PROCESADO;DIVORCIADO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;18/1/2018;12/12/2021;17/1/2018;18/1/2018;;18/1/2018;19/1/2018;19/1/2018;;18/11/2019 0:00:00;NO APLICA;NO APLICA;ENTRE 25 Y 34 AÑOS;NO;NO;12:00;06:30;30/12/1899 19:50:00;35926;NO APLICA;;FLAGRANCIA;SIN DATO;0,892043;-79,666772;DOMICILIO DE LA VICTIMA;CASA/VILLA;NO APLICA;6;1;NO APLICA;NO APLICA;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;;SUPERIOR;SUPERIOR;NINGUNO;1;NO APLICA;08282201800113;NO APLICA;NO DETERMINADO;EMPLEADO PRIVADO;NO APLICA;SIN DATO;NO;NO;;NO;HERIDA POR ARMA DE FUEGO;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;INGENIERIA INDUSTRIAL;EMPLEADO;NO;NO APLICA;NO APLICA;EXCONVIVIENTE;;RATIFICA SENTENCIA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;SENTENCIA;ARMA DE FUEGO;FEMICIDIO;NO APLICA;CONDENATORIA;NO;NO APLICA
ENTRE 25 Y 34 AÑOS;2018;AMBATO;TUNGURAHUA;FEMICIDIO;180101818010491;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PUBLICO;NO;NO;ASESINATO;SI;NO;NO APLICA;NO APLICA;URBANA;NINGUNA;NO APLICA;NO APLICA;FEMICIDIO;FALLECIDO;NO APLICA;18;1;1;;NO APLICA;NO APLICA;NO APLICA;NINGUNA;SI;30;32;NO;RESUELTA;NO APLICA;CASADO/A;VIUDO/A;INDIGENA;INDIGENA;20/1/2018;;NO APLICA;20/1/2018;;20/1/2018;22/1/2018;30/12/1899;;30/12/1899 0:00:00;20/1/2018;NO APLICA;ENTRE 25 Y 34 AÑOS;NO;SI;18:30;16:15;30/12/1899 16:54:00;35975;NO APLICA;;FLAGRANCIA;NO APLICA;-1,26710467;-78,60939324;OTRO LUGAR;CENTROS DE REHABILITACION SOCIAL;NO APLICA;NO APLICA;1;NO APLICA;SUICIDIO;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;;EDUCACION BASICA;PRIMARIA;NINGUNO;1;NO APLICA;NO APLICA;1;AGRICULTORA;PERSONA PRIVADA DE LIBERTAD;NO APLICA;NO APLICA;NO;NO;;NO;ESTRANGULACION;NO;VIOLENCIA COMUNITARIA;EMOCIONAL;NO APLICA;OTROS;AGRICULTOR;NO APLICA;NO APLICA;NO APLICA;PAREJA;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;EXTINCION DEL EJERCICIO DE LA ACCION PENAL;OTROS;FEMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
ENTRE 35 Y 44 AÑOS;2018;SUCUA;MORONA SANTIAGO;FEMICIDIO;140601818010026;;NO;NO;NO;NO;PRIVADO;NO;NO;TENENCIA Y PORTE DE ARMAS;SI;NO;22 AÑOS;SI;URBANA;SIN DATO;NO;NO;FEMICIDIO;SENTENCIADO;1;14;1;1;SI;141 FEMICIDIO;140 ASESINATO;ACUSATORIO;NINGUNA;NO;55;41;NO APLICA;RESUELTA;SENTENCIADO;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;29/1/2018;;29/1/2018;29/1/2018;;29/1/2018;30/1/2018;30/1/2018;;7/12/2018 0:00:00;NO APLICA;NO;ENTRE 45 Y 64 AÑOS;NO;NO;09:50;07:30;30/12/1899 11:25:00;36130;SI;;FLAGRANCIA;SIN DATO;-2,48311065;-78,16630036;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;6;1;141 FEMICIDIO;NO APLICA;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;;EDUCACION BASICA;PRIMARIA;NINGUNO;1;NO APLICA;14304201800076;NO APLICA;NO DETERMINADO;SIN DATO;NO APLICA;NO;NO;NO;;NO;HERIDA POR ARMA DE FUEGO;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;14 AÑOS Y 8 MESES;QUEHACER. DOMESTICOS;JORNALERO;NO;NO;NO APLICA;CONVIVIENTE;;REVOCATORIA/MODIFICACION DEL TIPO PENAL Y LA PENA;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA DE FUEGO;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;SIN DATO
ENTRE 45 Y 64 AÑOS;2018;QUITO;PICHINCHA;FEMICIDIO;170101818020051;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PUBLICO;NO;NO;NO;;NO;NO APLICA;NO APLICA;URBANA;CUCHILLO;NO APLICA;NO APLICA;FEMICIDIO;SOSPECHOSO;NO APLICA;17;1;1;;NO APLICA;NO APLICA;ABSTENTIVO;NINGUNA;SI;41;48;NO;INVESTIGACION PREVIA;PROFUGO;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;30/1/2018;;30/12/1899;29/1/2018;;29/1/2018;1/2/2018;30/12/1899;;30/12/1899 0:00:00;NO APLICA;NO APLICA;ENTRE 35 Y 44 AÑOS;NO;SI;08:20;23:00;30/12/1899 10:26:00;36140;NO APLICA;;SAI;SIN DATO;-0,191458;-78,394056;OTRO LUGAR;CASA/VILLA;SIN DATO;SIN DATO;1;NO APLICA;NO APLICA;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;;EDUCACION BASICA;PRIMARIA;SIN DATO;1;NO APLICA;;SIN DATO;SIN DATO;SIN DATO;SI;NO APLICA;NO;JUICIO DE ALIMENTOS;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA COMUNITARIA;EMOCIONAL;NO APLICA;QUEHACER. DOMESTICOS;AGRICULTOR;SI;NO APLICA;NO APLICA;EXCONVIVIENTE;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;NO APLICA;ARMA BLANCA;FEMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
ENTRE 25 Y 34 AÑOS;2018;PUTUMAYO;SUCUMBIOS;FEMICIDIO;210301818020004;;NO;SI;NO;NO;PRIVADO;NO;NO;NO;;NO;26 AÑOS;NO;RURAL;SIN DATO;NO;NO;FEMICIDIO;SENTENCIADO;NO APLICA;21;1;1;SI;141 FEMICIDIO;141 FEMICIDIO;ACUSATORIO;NINGUNA;SI;21;28;NO;RESUELTA;SENTENCIADO;SOLTERO/A;SOLTERO/A;INDIGENA;MESTIZO/A;9/2/2018;;8/2/2018;8/2/2018;;8/2/2018;10/2/2018;9/2/2018;;19/9/2018 0:00:00;NO APLICA;NO;ENTRE 15 Y 24 AÑOS;NO;SI;02:30;20:00;30/12/1899 9:46:00;36324;SI;;FLAGRANCIA;SIN DATO;0,091436467;-75,916299820;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;6;2;NO APLICA;NO APLICA;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;;BACHILLERATO;SECUNDARIA;NINGUNO;1;NO APLICA;21334201800017;1;ESTUDIANTE;AGRICULTOR;NO APLICA;NO;NO;NO;;NO;HERIDA POR ARMA DE FUEGO;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;ESTUDIANTE;AGRICULTOR;NO;NO;NO APLICA;CONVIVIENTE;;NO APLICA;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA DE FUEGO;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;SIN DATO
ENTRE 35 Y 44 AÑOS;2018;RIOVERDE;ESMERALDAS;FEMICIDIO;080701818020012;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO;NO;MALTRATO O MUERTE DE MASCOTAS O ANIMALES DE COMPAÑÍA;SI;NO;NO APLICA;NO APLICA;URBANA;SIN DATO;NO APLICA;NO APLICA;FEMICIDIO;SOSPECHOSO;NO APLICA;08;1;1;;NO APLICA;NO APLICA;ACUSATORIO;NINGUNA;SI;35;38;NO;EVALUACION Y PREPARATORIA DE JUICIO;PROFUGO;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;10/2/2018;;30/12/1899;9/2/2018;;9/2/2018;15/2/2018;10/7/2018;;30/12/1899 0:00:00;NO APLICA;NO APLICA;ENTRE 35 Y 44 AÑOS;NO;SI;15:00;17:00;30/12/1899 10:11:28;36363;NO APLICA;;SAI;SIN DATO;0,933333;-79,450000000;DOMICILIO DE LA VICTIMA;CASA/VILLA;NO APLICA;6;2;NO APLICA;NO APLICA;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;;EDUCACION BASICA;PRIMARIA;NINGUNO;1;NO APLICA;08282201801146;2;QUEHACER DOMESTICOS;JORNALERO;SI;NO APLICA;NO;NO;;NO;HERIDAS CONTUSAS;NO;VIOLENCIA INTRAFAMILIAR;MALTRATO;NO APLICA;QUEHACER. DOMESTICOS;JORNALERO;SI;NO APLICA;NO APLICA;PAREJA;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;NO APLICA;ARMA CONTUNDENTE;FEMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
ENTRE 15 Y 24 AÑOS;2018;QUITO;PICHINCHA;OTRAS MUERTES VIOLENTAS;170101818022180;144 HOMICIDIO;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO;NO;TRAFICO ILICITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACION;SI;NO;10 AÑOS;NO;URBANA;CUCHILLO;NO;NO;HOMICIDIO;SENTENCIADO;NO APLICA;17;1;1;;144 HOMICIDIO;144 HOMICIDIO;ACUSATORIO;NINGUNA;SI;25;20;SIN DATO;RESUELTA;SENTENCIADO;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;10/2/2018;27/6/2021;24/6/2018;10/2/2018;;10/2/2018;14/2/2018;28/3/2018;;9/2/2019 0:00:00;NO APLICA;NO;ENTRE 25 Y 34 AÑOS;NO;SI;01:30;00:20;30/12/1899 9:49:01;36342;SI;;SAI;SIN DATO;-0,221296;-78,524783;OTRO DOMICILIO;CASA/VILLA;NO APLICA;6;2;NO APLICA;NO APLICA;ECUADOR;ECUADOR;;NO;144 HOMICIDIO;144 HOMICIDIO;;BACHILLERATO;BACHILLERATO;SIN DATO;1;NO APLICA;17294201800499;1;ESTUDIANTE;SIN DATO;NO APLICA;NO;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA COMUNITARIA;RIÑAS;NO APLICA;OTROS;NINGUNA;NO;NO;NO APLICA;DESCONOCIDO;;NO APLICA;NO APLICA;NO;NO;MUJER;MUJER;SENTENCIA;ARMA BLANCA;HOMICIDIO;CONDENATORIA;CONDENATORIA;NO;SIN DATO
ENTRE 25 Y 34 AÑOS;2018;SANTO DOMINGO;SANTO DOMINGO DE LOS TSACHILAS;OTRAS MUERTES VIOLENTAS;230101818030178;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO;NO APLICA;NO;;NO;NO APLICA;NO APLICA;URBANA;NINGUNA;NO APLICA;NO APLICA;ASESINATO;FALLECIDO;NO APLICA;23;1;1;;NO APLICA;NO APLICA;NO APLICA;NINGUNA;NO;7;31;NO APLICA;INVESTIGACION PREVIA;NO APLICA;NO APLICA;SOLTERO/A;MESTIZO/A;MESTIZO/A;13/2/2018;;NO APLICA;11/2/2018;;11/2/2018;1/3/2018;;;30/12/1899 0:00:00;8/2/2018;NO APLICA;MENORES DE 15 AÑOS;NO;NO APLICA;22:20;14:30;30/12/1899 8:54:00;36436;NO APLICA;;SAI;NO APLICA;-0,247256556;-79,175064740;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;NO APLICA;2;NO APLICA;SUICIDIO;ECUADOR;ECUADOR;;NO;140 ASESINATO;140 ASESINATO;Niña;NINGUNO;NINGUNO;SIN DATO;1;NO APLICA;;NO APLICA;ESTUDIANTE;SIN DATO;NO APLICA;NO APLICA;NO;NO;;NO;ESTRANGULACION;NO APLICA;VIOLENCIA INTRAFAMILIAR;MALTRATO;NO APLICA;OTROS;ESTUDIANTE;NO;NO APLICA;NO APLICA;PARIENTE CONSANGUINEO (FAMILIAR);;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;MUJER;NO APLICA;OTROS;ASESINATO;NO APLICA;NO APLICA;NO;NO APLICA
ENTRE 35 Y 44 AÑOS;2018;GUAYAQUIL;GUAYAS;FEMICIDIO;090101818022293;;NO;SI;SI;NO;PRIVADO;NO;NO;NO;;NO;26 AÑOS;NO;URBANA;SIN DATO;NO;NO;FEMICIDIO;SENTENCIADO;NO APLICA;09;1;1;SI;141 FEMICIDIO;141 FEMICIDIO;ACUSATORIO;NINGUNA;SI;37;38;NO;RESUELTA;SENTENCIADO;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;14/2/2018;;13/2/2018;13/2/2018;;14/2/2018;14/2/2018;14/2/2018;;8/2/2019 0:00:00;NO APLICA;NO APLICA;ENTRE 35 Y 44 AÑOS;NO;SI;02:50;21:30;30/12/1899 14:50:00;36437;SI;;FLAGRANCIA;SI;-2,120054;-79,949709;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;6;2;NO APLICA;NO APLICA;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;;BACHILLERATO;BACHILLERATO;SECUNDARIA;1;NO APLICA;09281201800708;2;NO DETERMINADO;COMERCIANTE;NO APLICA;NO;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;BACHILLER EN CIENCIAS INFORMATICAS;COMERCIANTE;NO;NO APLICA;NO APLICA;CONVIVIENTE;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;SENTENCIA;ARMA BLANCA;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;2 HIJOS/AS
ENTRE 25 Y 34 AÑOS;2018;GUALACEO;AZUAY;FEMICIDIO;010301818020046;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO;NO;NO;;NO;NO APLICA;NO APLICA;RURAL;SIN DATO;NO APLICA;NO APLICA;FEMICIDIO;FALLECIDO;NO APLICA;01;1;1;;NO APLICA;NO APLICA;NO APLICA;NINGUNA;SI;27;32;NO;RESUELTA;NO APLICA;CASADO/A;CASADO/A;MESTIZO/A;MESTIZO/A;15/2/2018;2/1/2022;NO APLICA;15/2/2018;;15/2/2018;16/2/2018;30/12/1899;;30/12/1899 0:00:00;15/2/2018;NO APLICA;ENTRE 25 Y 34 AÑOS;NO;SI;06:30;04:25;30/12/1899 16:13:00;36478;NO APLICA;;SAI;NO APLICA;-2,887755;-78,878171;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;NO APLICA;2;NO APLICA;SUICIDIO;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;;BACHILLERATO;BACHILLERATO;BACHILLERATO;1;NO APLICA;NO APLICA;SIN DATO;OTROS;OTROS;NO APLICA;NO APLICA;NO;NO;;NO;AHORCADURA;NO APLICA;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;ESTUDIANTE;ELECTRICISTA;NO APLICA;NO APLICA;NO APLICA;CONYUGE;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;ARCHIVO DE LA INVESTIGACION PREVIA;CONSTRICTORA;FEMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
ENTRE 15 Y 24 AÑOS;2018;QUITO;PICHINCHA;FEMICIDIO;170101818024182;;NO;NO;NO;SI;PUBLICO;NO;NO;NO;;NO;13 AÑOS;SI;URBANA;CABLE;NO;NO;FEMICIDIO;SENTENCIADO;NO APLICA;17;1;1;SI;141 FEMICIDIO;144 HOMICIDIO;ACUSATORIO;NINGUNA;SI;24;23;NO;RESUELTA;SENTENCIADO;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;22/2/2018;;22/2/2018;21/2/2018;;21/2/2018;23/2/2018;23/2/2018;;13/9/2018 0:00:00;NO APLICA;NO;ENTRE 15 Y 24 AÑOS;NO;NO;11:30;19:30;30/12/1899 3:09:00;36621;SI;;FLAGRANCIA;SIN DATO;-0,290988;-78,580307;OTRO LUGAR;CASA/VILLA;NO APLICA;6;2;141 FEMICIDIO;NO APLICA;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;;BACHILLERATO;BACHILLERATO;BACHILLERATO;1;NO APLICA;17283201800371;NO APLICA;ESTUDIANTE;ESTUDIANTE;NO APLICA;NO;NO;NO;;NO;ESTRANGULACION;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;26 AÑOS;ESTUDIANTE;BACHILL. EN CIENCIAS;NO;NO;NO APLICA;PAREJA;;REVOCATORIA/MODIFICACION DEL TIPO PENAL Y LA PENA;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;CONSTRICTORA;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;"MADRE; PADRE"
ENTRE 25 Y 34 AÑOS;2018;QUITO;PICHINCHA;OTRAS MUERTES VIOLENTAS;170101818024328;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PUBLICO;NO;NO APLICA;ROBO, LESIONES;SI;NO;34 AÑOS Y 8 MESES;SI;URBANA;NINGUNA;NO APLICA;SI;SECUESTRO CON MUERTE;SENTENCIADO;NO APLICA;17;1;1;;"161 SECUESTRO; 162 SECUESTRO EXTORSIVO";"161 SECUESTRO; 162 SECUESTRO EXTORSIVO";NO APLICA;NINGUNA;NO;0;28;NO APLICA;RESUELTA;SENTENCIADO;NO APLICA;SOLTERO/A;SIN DATO;MESTIZO/A;14/3/2018;25/7/2021;14/3/2018;23/2/2018;;23/2/2018;23/2/2018;15/3/2018;;11/3/2019 0:00:00;NO APLICA;NO;MENORES DE 15 AÑOS;NO;NO APLICA;18:50;10:00;30/12/1899 14:22:46;37040;SI;;SAI;SIN DATO;-0,107393;-78,485838;OTRO LUGAR;TERRENO BALDIO;NO APLICA;6;2;NO APLICA;NO APLICA;ECUADOR;ECUADOR;;NO;161 SECUESTRO;161 SECUESTRO;Niña;NO APLICA;NO APLICA;SIN DATO;1;NO APLICA;17282201800893;NO APLICA;NO APLICA;SIN DATO;NO APLICA;47.5;SI;NO;;NO;A DETERMINARSE;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;NO APLICA;EMPLEADO;NO;NO;NO APLICA;PARIENTE CONSANGUINEO (FAMILIAR);;RECHAZANDO RECURSO;INADMISION;NO;NO;MUJER;HOMBRE;SENTENCIA;OTROS;HOMICIDIO;CONDENATORIA;CONDENATORIA;NO;SIN DATO
ENTRE 15 Y 24 AÑOS;2018;GUAMOTE;CHIMBORAZO;FEMICIDIO;060601818020016;;NO;SI;NO;NO;PUBLICO;NO;NO;NO;;VIOLENCIA FISICA CONTRA LA MUJER O MIEMBROS DEL NUCLEO FAMILIAR;34 AÑOS Y 8 MESES;SI;RURAL;SIN DATO;NO;NO;FEMICIDIO;SENTENCIADO;NO APLICA;06;1;1;SI;141 FEMICIDIO;141 FEMICIDIO;ACUSATORIO;NINGUNA;SI;17;19;SI;RESUELTA;SENTENCIADO;SOLTERO/A;SOLTERO/A;INDIGENA;MESTIZO/A;25/2/2018;;25/2/2018;25/2/2018;;25/2/2018;27/2/2018;25/2/2018;;4/6/2018 0:00:00;NO APLICA;NO;ENTRE 15 Y 24 AÑOS;NO;NO;14:00;06:30;30/12/1899 8:35:00;36696;SI;;FLAGRANCIA;SIN DATO;-1,9329308;-78,7101644;OTRO LUGAR;TERRENO BALDIO;NO APLICA;6;2;NO APLICA;NO APLICA;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;Adolescente;EDUCACION BASICA;EDUCACION BASICA;PRIMARIA;1;NO APLICA;06333201800056;NO APLICA;ESTUDIANTE;ALBAÑIL;NO APLICA;47.11;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;ESTUDIANTE;ESTUDIANTE;NO;NO;NO APLICA;EXCONVIVIENTE;;RATIFICA SENTENCIA;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA BLANCA;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;"MADRE; PADRE; 2 HERMANOS"
ENTRE 35 Y 44 AÑOS;2018;QUITO;PICHINCHA;OTRAS MUERTES VIOLENTAS;170101818030561;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PUBLICO;NO;NO;NO;;NO;34 AÑOS Y 8 MESES;SI;URBANA;SIN DATO;NO;NO;ASESINATO;SENTENCIADO;NO APLICA;17;1;1;;140 ASESINATO;140 ASESINATO;ACUSATORIO;NINGUNA;SI;30;43;NO;RESUELTA;SENTENCIADO;CASADO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;3/3/2018;;3/3/2018;3/3/2018;;3/3/2018;4/3/2018;4/3/2018;;25/1/2019 0:00:00;NO APLICA;NO;ENTRE 25 Y 34 AÑOS;NO;SI;23:40;17:45;30/12/1899 21:19:48;36811;SI;;FLAGRANCIA;SIN DATO;-0,225437713;-78,511788702;OTRO LUGAR;VIA PUBLICA;NO APLICA;6;3;NO APLICA;NO APLICA;COLOMBIA;COLOMBIA;;NO;140 ASESINATO;140 ASESINATO;;SIN DATO;SIN DATO;SIN DATO;1;NO APLICA;17282201800763;1;SIN DATO;SIN DATO;NO APLICA;NO;SI;NO;;NO;HERIDA POR ARMA DE FUEGO;NO;DELINCUENCIA COMUN;AMENAZA;NO APLICA;OTROS;SIN DATO;NO;NO;NO APLICA;CONOCIDO/A;;NEGANDO RECURSO;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA DE FUEGO;ASESINATO;CONDENATORIA;CONDENATORIA;NO;SIN DATO
ENTRE 35 Y 44 AÑOS;2018;MANTA;MANABI;FEMICIDIO;130801818030043;;NO;SI;NO;NO;PUBLICO;NO;NO;NO;;NO;26 AÑOS;NO;URBANA;SIN DATO;NO;NO;FEMICIDIO;SENTENCIADO;NO APLICA;13;1;1;SI;141 FEMICIDIO;141 FEMICIDIO;ACUSATORIO;NINGUNA;SI;33;40;NO;RESUELTA;SENTENCIADO;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;4/3/2018;;4/3/2018;4/3/2018;;4/3/2018;5/3/2018;4/3/2018;;8/6/2018 0:00:00;NO APLICA;NO;ENTRE 25 Y 34 AÑOS;NO;SI;09:30;07:05;30/12/1899 9:34:00;36824;SI;;FLAGRANCIA;SI;-0,95616313;-80,71865559;OTRO LUGAR;VIA PUBLICA;NO APLICA;6;3;NO APLICA;NO APLICA;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;;EDUCACION BASICA;PRIMARIA;PRIMARIA;1;NO APLICA;13284201800289;1;OTROS;COMERCIANTE;NO APLICA;NO;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA COMUNITARIA;EMOCIONAL;NO APLICA;QUEHACER. DOMESTICOS;COMERCIANTE;NO;NO;NO APLICA;PAREJA;;NO APLICA;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA BLANCA;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;SIN DATO
ENTRE 45 Y 64 AÑOS;2018;EL CARMEN;MANABI;FEMICIDIO;130401818030059;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PUBLICO;NO;NO;NO;;NO;NO APLICA;NO APLICA;RURAL;SIN DATO;NO APLICA;NO APLICA;FEMICIDIO;FALLECIDO;NO APLICA;13;1;1;;NO APLICA;NO APLICA;NO APLICA;NINGUNA;SI;47;58;NO;INVESTIGACION PREVIA;NO APLICA;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;11/3/2018;;NO APLICA;11/3/2018;;11/3/2018;13/3/2018;30/12/1899;;30/12/1899 0:00:00;11/3/2018;NO APLICA;ENTRE 45 Y 64 AÑOS;NO;SIN DATO;17:00;13:00;30/12/1899 11:12:00;36981;NO APLICA;;SAI;NO APLICA;-0,316468;-79,650117;OTRO LUGAR;FINCA;NO APLICA;NO APLICA;3;NO APLICA;SUICIDIO;ECUADOR;ECUADOR;;NO;141 FEMICIDIO;141 FEMICIDIO;;EDUCACION BASICA;PRIMARIA;PRIMARIA;1;NO APLICA;;SIN DATO;QUEHACER DOMESTICOS;JORNALERO;NO APLICA;NO APLICA;NO;NO;;NO;HERIDA POR ARMA DE FUEGO;NO APLICA;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;OTROS;JORNALERO;NO APLICA;NO APLICA;NO APLICA;CONVIVIENTE;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;NO APLICA;ARMA DE FUEGO;FEMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
